model,count,range
MODEL Y,32822,291
MODEL 3,28926,322
LEAF,13274,215
MODEL S,7611,337
BOLT EV,6413,259
MODEL X,5429,293
VOLT,4825,53
ID.4,3647,0
WRANGLER,3161,25
MUSTANG MACH-E,3107,0
NIRO,3096,239
PACIFICA,2878,33
PRIUS PRIME,2597,39
X5,2301,39
IONIQ 5,2250,0
EV6,2043,0
I3,1919,153
RAV4 PRIME,1908,42
FUSION,1778,26
R1S,1622,0
R1T,1583,0
BOLT EUV,1570,0
C-MAX,1502,20
XC90,1364,35
F-150,1260,0
E-TRON,1078,222
E-GOLF,1070,125
XC60,1021,35
I4,967,0
XC40,961,0
GRAND CHEROKEE,939,25
PRIUS PLUG-IN,935,6
OUTLANDER,878,38
PS2,853,233
CLARITY,811,48
500,801,87
SOLTERRA,721,0
IX,701,0
Q5 E,665,23
KONA ELECTRIC,661,0
HARDTOP,636,110
TAYCAN,608,203
SORENTO,585,32
ARIYA,574,0
A3,566,16
SPORTAGE,537,34
Q4,432,0
330E,431,22
530E,411,21
C40,404,0
SOUL,401,93
CX-90,382,26
ESCAPE,377,38
CAYENNE,360,17
EDV,349,0
TRANSIT,306,0
X3,304,17
EQB-CLASS,280,0
IONIQ 6,265,0
SPARK,246,82
FOCUS,236,100
AIR,231,0
Q8,230,0
BZ4X,228,0
EQE-CLASS SUV,228,0
IONIQ,222,170
I-PACE,221,234
KONA,220,258
COUNTRYMAN,218,17
SOUL EV,216,111
EQS-CLASS SUV,199,0
GLC-CLASS,197,22
SANTA FE,191,31
EQS-CLASS SEDAN,186,0
TUCSON,175,33
E-TRON SPORTBACK,174,218
AVIATOR,161,21
NX,161,37
FORTWO ELECTRIC DRIVE,155,68
LYRIQ,153,0
RZ 450E,146,0
Q5,139,23
S60,139,41
E-TRON GT,131,0
PANAMERA,128,19
GV60,123,0
OPTIMA,106,29
CORSAIR,93,28
EQE-CLASS SEDAN,92,0
B-CLASS,91,87
PRIUS,87,39
I8,86,18
ELR,78,40
SONATA,73,28
CROSSTREK,67,17
FORTWO,66,68
I-MIEV,63,62
RAV4,57,103
EQ FORTWO,54,58
ROADSTER,46,245
V60,42,41
GLE-CLASS,41,10
RANGE ROVER SPORT,33,59
740E,32,14
RS E-TRON GT,32,0
S90,31,38
TONALE,29,33
HORNET,28,32
I5,24,0
GV70,23,0
RANGE ROVER,20,59
C-CLASS,18,11
G80,15,0
KARMA,15,33
CT6,14,31
A7,13,24
OCEAN,13,0
BLAZER EV,12,0
EV9,11,0
RANGER,11,74
745E,10,16
ACCORD,10,13
S-CLASS,10,14
TRANSIT CONNECT ELECTRIC,8,56
I7,6,0
CITY,5,100
SILVERADO EV,5,0
A8 E,3,17
WHEEGO,3,100
745LE,2,16
FLYING SPUR,2,21
HUMMER EV PICKUP,2,0
MX-30,2,0
XM,2,31
918,1,12
BENTAYGA,1,17
S-10 PICKUP,1,39
SQ8,1,0
