Model,Electric Range
500,87
MODEL X,200
330E,20
R1S,0
MODEL 3,322
X5,39
PACIFICA,33
BOLT EV,238
MODEL 3,215
I3,114
MODEL Y,0
NIRO,239
MODEL Y,291
FUSION,26
I3,81
X5,39
PRIUS PRIME,25
MODEL X,200
MODEL 3,322
VOLT,53
LEAF,75
R1T,0
MODEL 3,220
BOLT EV,259
I3,153
MODEL Y,291
OPTIMA,29
MODEL 3,266
MODEL 3,215
X5,30
MODEL S,210
MODEL S,270
MODEL Y,0
I3,97
VOLT,38
OUTLANDER,38
I3,72
MODEL 3,220
VOLT,38
CLARITY,47
LEAF,149
Q5 E,18
WRANGLER,22
BOLT EV,238
LEAF,151
MODEL Y,291
LEAF,84
WRANGLER,25
X5,14
500,87
MODEL S,210
LEAF,75
MODEL Y,291
XC90,32
MODEL S,210
BOLT EV,238
MODEL 3,215
MODEL 3,220
MODEL 3,215
VOLT,38
LEAF,84
LEAF,73
MODEL 3,215
MODEL X,200
Q5,23
LEAF,150
WRANGLER,21
MODEL S,208
X5,13
FUSION,21
MODEL 3,215
LEAF,151
LEAF,73
I3,153
MODEL 3,215
C-MAX,19
LEAF,84
GRAND CHEROKEE,25
BOLT EV,238
MODEL 3,215
PRIUS PRIME,25
MODEL S,208
WRANGLER,21
MODEL 3,215
X5,30
MODEL X,289
X5,30
LEAF,151
MODEL 3,220
MODEL 3,215
LEAF,73
X5,30
I8,14
VOLT,53
LEAF,75
MODEL X,238
VOLT,53
WRANGLER,21
MODEL X,200
LEAF,151
MODEL S,249
MODEL X,200
X5,14
MODEL X,289
LEAF,73
LEAF,84
R1T,0
VOLT,38
X5,30
LEAF,73
MODEL 3,0
OPTIMA,29
530E,18
MODEL 3,322
LEAF,150
WRANGLER,21
MODEL S,330
A3,16
WRANGLER,25
FUSION,19
SPORTAGE,34
LEAF,84
MODEL 3,215
NIRO,239
500,84
LEAF,150
LEAF,84
MODEL 3,266
LEAF,150
MODEL 3,215
MODEL X,289
BOLT EV,259
PRIUS PRIME,25
MODEL S,208
SPARK,82
LEAF,75
MODEL 3,266
MODEL X,200
MODEL 3,220
XC60,35
NIRO,26
MODEL 3,215
MODEL 3,0
LEAF,75
LEAF,75
I8,17
MODEL 3,215
MODEL 3,220
FUSION,19
MODEL Y,0
RAV4 PRIME,42
LEAF,0
330E,14
MODEL Y,0
LEAF,73
MODEL Y,0
TRANSIT,0
MUSTANG MACH-E,0
MODEL Y,0
KONA ELECTRIC,0
GRAND CHEROKEE,25
MODEL Y,0
ID.4,0
ID.4,0
SOLTERRA,0
I3,153
XC90,18
LEAF,75
C-MAX,19
MODEL 3,215
MODEL Y,0
R1T,0
MODEL S,210
MODEL Y,0
WRANGLER,21
MODEL 3,322
MUSTANG MACH-E,0
MODEL 3,215
500,87
MODEL Y,0
LEAF,151
SORENTO,32
MODEL Y,0
C-MAX,19
BOLT EV,238
PACIFICA,32
MODEL 3,215
AIR,0
MODEL Y,291
GRAND CHEROKEE,25
ID.4,0
MODEL 3,215
LEAF,84
KONA ELECTRIC,0
PRIUS PRIME,25
RAV4 PRIME,42
MODEL 3,266
MODEL Y,0
MODEL Y,0
MODEL X,200
LEAF,84
MODEL 3,215
E-TRON,204
MODEL Y,0
MODEL S,208
ID.4,0
MODEL Y,0
PACIFICA,32
XC90,18
MODEL Y,0
CLARITY,47
SOLTERRA,0
MODEL 3,220
MODEL Y,0
MODEL Y,0
KONA ELECTRIC,0
OPTIMA,29
FUSION,19
EV6,0
LEAF,107
MODEL Y,0
MODEL S,0
MODEL Y,0
HARDTOP,110
MODEL S,210
PS2,0
LEAF,151
R1S,0
MODEL 3,215
R1T,0
MODEL Y,0
MODEL 3,0
MODEL Y,0
Q8,0
MODEL Y,0
LEAF,150
MODEL 3,220
PACIFICA,33
LEAF,0
PACIFICA,33
NIRO,239
NIRO,33
MODEL Y,0
BOLT EUV,0
OUTLANDER,38
MODEL Y,0
MODEL 3,215
MODEL 3,322
MODEL Y,0
MODEL 3,0
E-TRON,0
MODEL Y,0
MODEL S,249
MODEL 3,322
MODEL Y,291
MODEL 3,215
IONIQ 5,0
MODEL 3,266
MODEL 3,220
MODEL 3,215
EQ FORTWO,58
MODEL 3,215
MODEL Y,0
MODEL 3,0
MODEL Y,0
WRANGLER,21
MODEL Y,291
MODEL 3,0
MODEL 3,0
MODEL 3,0
EV6,0
MODEL Y,0
C-MAX,19
WRANGLER,21
LEAF,0
AVIATOR,21
SOLTERRA,0
MODEL 3,220
VOLT,38
VOLT,38
IONIQ 5,0
FUSION,21
PACIFICA,32
MODEL Y,0
MODEL Y,291
MODEL Y,291
MODEL Y,0
WRANGLER,21
PACIFICA,32
MODEL 3,0
LEAF,150
LEAF,151
MODEL 3,220
MODEL 3,0
X5,30
PRIUS PRIME,25
PRIUS PLUG-IN,6
R1S,0
WRANGLER,21
F-150,0
X5,30
MODEL 3,0
E-TRON,0
MODEL S,249
R1S,0
MODEL 3,322
FUSION,19
MODEL 3,0
MODEL Y,0
I3,72
MODEL X,200
MODEL 3,0
EQS-CLASS SEDAN,0
WRANGLER,21
ESCAPE,38
MODEL S,210
BOLT EV,238
MODEL S,208
MODEL S,330
MODEL 3,220
BOLT EV,238
MODEL Y,0
MODEL 3,0
Q8,0
MODEL Y,291
PACIFICA,32
MODEL 3,220
EV6,0
VOLT,53
RAV4 PRIME,42
GRAND CHEROKEE,25
CLARITY,47
XC40,0
MODEL 3,0
MODEL X,0
PRIUS PRIME,25
PACIFICA,32
MODEL Y,0
MODEL Y,0
MODEL X,0
MODEL 3,0
MUSTANG MACH-E,0
MODEL 3,215
MODEL 3,0
WRANGLER,21
MUSTANG MACH-E,0
MODEL Y,0
MODEL 3,0
MODEL 3,220
LEAF,73
MODEL 3,266
ESCAPE,38
MODEL S,208
MODEL X,0
ID.4,0
MODEL S,208
BOLT EV,0
PACIFICA,32
XC60,17
MODEL 3,215
V60,41
I3,81
A3,16
MODEL Y,0
LEAF,84
MODEL 3,0
MODEL 3,0
WRANGLER,21
MODEL Y,0
BOLT EUV,0
FUSION,19
C40,0
MODEL Y,0
IONIQ,29
ID.4,0
BOLT EV,0
MODEL Y,0
NIRO,239
MODEL Y,0
BOLT EV,238
Q8,0
MODEL 3,220
COUNTRYMAN,17
MODEL 3,220
MODEL 3,0
MODEL Y,0
MODEL X,289
SOUL,93
BOLT EV,0
LEAF,84
MODEL X,238
EV6,0
MUSTANG MACH-E,0
IX,0
MODEL Y,0
MODEL Y,291
MODEL Y,0
PACIFICA,33
EV6,0
FUSION,26
MODEL Y,0
RZ 450E,0
LEAF,73
SOLTERRA,0
PACIFICA,32
MODEL Y,0
MODEL S,0
MODEL Y,0
BOLT EV,0
X5,30
PRIUS PRIME,25
CLARITY,47
LEAF,75
MODEL X,238
I3,97
WRANGLER,21
MODEL Y,0
BZ4X,0
TAYCAN,0
MODEL 3,215
C-MAX,19
SOLTERRA,0
LEAF,84
MODEL 3,0
MODEL 3,215
BOLT EUV,0
TAYCAN,192
MODEL X,293
MODEL Y,0
MODEL 3,220
X5,30
LEAF,150
MODEL 3,0
MODEL 3,215
TUCSON,33
MODEL Y,0
MODEL 3,0
MODEL Y,0
Q5 E,18
LEAF,84
MODEL Y,0
MODEL Y,0
MODEL Y,0
MODEL 3,220
MODEL 3,220
MODEL Y,0
PRIUS PRIME,25
MODEL Y,0
WRANGLER,21
WRANGLER,21
MODEL Y,0
PRIUS PRIME,25
MODEL Y,0
ID.4,0
FUSION,19
PACIFICA,32
I3,153
I3,72
MODEL 3,0
LEAF,75
R1T,0
BOLT EUV,0
MODEL Y,0
BOLT EV,0
NIRO,33
MODEL 3,0
NIRO,0
CAYENNE,13
X5,14
PACIFICA,32
E-TRON,0
PACIFICA,32
IONIQ 5,0
MODEL Y,291
MODEL Y,0
MODEL 3,0
I4,0
MODEL 3,266
MODEL X,0
MODEL S,208
MODEL Y,0
R1S,0
MODEL S,249
LEAF,107
MODEL X,0
MODEL 3,322
E-TRON,204
TONALE,33
MODEL Y,0
LEAF,151
CLARITY,47
MODEL X,0
IONIQ 5,0
XC60,35
MODEL Y,0
500,84
MODEL 3,215
MODEL Y,0
SANTA FE,30
A3,16
MODEL 3,215
IONIQ 5,0
HARDTOP,0
MODEL 3,0
LEAF,75
R1S,0
500,84
LEAF,150
MODEL 3,220
MODEL 3,0
HORNET,32
MODEL Y,0
XC90,18
BOLT EV,0
MODEL Y,0
MODEL 3,0
MODEL 3,215
LEAF,75
BOLT EUV,0
LEAF,0
MODEL Y,0
530E,21
LEAF,75
MODEL 3,220
PACIFICA,32
MODEL S,208
R1T,0
MODEL S,210
MODEL Y,0
MODEL X,238
MODEL 3,220
MODEL Y,0
F-150,0
LEAF,75
LEAF,150
CROSSTREK,17
LEAF,151
VOLT,38
MODEL 3,220
MODEL Y,0
MODEL Y,0
ID.4,0
VOLT,53
MODEL Y,0
MODEL Y,0
PRIUS PRIME,25
PS2,233
IONIQ 6,0
PRIUS PLUG-IN,6
E-TRON,204
MODEL Y,0
VOLT,53
LEAF,84
NIRO,26
XC90,19
MODEL Y,0
PRIUS PLUG-IN,6
MODEL X,200
MODEL Y,0
MODEL 3,220
GLC-CLASS,10
PACIFICA,32
XC90,32
PACIFICA,32
MODEL S,270
IONIQ 5,0
MODEL Y,0
OUTLANDER,38
SOLTERRA,0
IONIQ 5,0
I-PACE,234
R1T,0
MODEL X,0
MODEL 3,0
BOLT EV,0
LEAF,84
EV6,0
BOLT EUV,0
500,87
MODEL Y,0
MODEL 3,322
NIRO,0
MODEL 3,215
LEAF,0
MODEL Y,0
MODEL Y,0
SONATA,27
EQB-CLASS,0
MODEL S,210
RAV4 PRIME,42
MODEL S,208
I4,0
MODEL 3,0
BOLT EUV,0
MODEL Y,0
MODEL Y,291
330E,14
PANAMERA,14
LEAF,149
E-TRON SPORTBACK,218
Q5 E,18
TUCSON,33
MODEL X,0
MODEL Y,0
F-150,0
I4,0
I4,0
WRANGLER,21
BOLT EV,259
IONIQ 5,0
LEAF,73
MODEL 3,0
R1S,0
MODEL Y,0
CAYENNE,14
BOLT EV,238
MODEL Y,0
MODEL Y,0
500,87
MODEL Y,0
GRAND CHEROKEE,25
MODEL Y,0
MODEL Y,0
RAV4 PRIME,42
Q4,0
MODEL 3,0
PACIFICA,32
LEAF,84
MODEL Y,0
MUSTANG MACH-E,0
BOLT EV,238
MODEL X,0
SOLTERRA,0
F-150,0
MODEL 3,220
MODEL S,208
MODEL Y,0
TAYCAN,0
GRAND CHEROKEE,25
MODEL Y,0
FUSION,19
RAV4 PRIME,42
MODEL Y,0
MODEL 3,322
MODEL Y,0
GRAND CHEROKEE,25
MODEL 3,0
MODEL 3,0
KONA ELECTRIC,0
VOLT,35
MODEL Y,0
GRAND CHEROKEE,25
SOLTERRA,0
BOLT EV,259
LEAF,150
MODEL 3,0
MODEL S,208
PACIFICA,32
R1T,0
PACIFICA,32
MODEL 3,220
LEAF,150
MODEL Y,0
WRANGLER,21
MODEL 3,215
SOLTERRA,0
BOLT EUV,0
X5,30
MODEL 3,0
MODEL 3,322
LEAF,151
MODEL Y,291
MODEL X,0
BOLT EV,0
VOLT,53
MODEL 3,215
WRANGLER,25
ID.4,0
IONIQ 5,0
MODEL Y,0
KONA ELECTRIC,0
XC60,17
LEAF,0
MODEL 3,0
PACIFICA,32
WRANGLER,21
VOLT,38
VOLT,53
MODEL S,208
LEAF,0
LEAF,107
MODEL 3,215
MODEL 3,0
MODEL Y,0
MODEL Y,0
RAV4,103
E-GOLF,125
LEAF,151
MODEL S,208
MODEL Y,0
MODEL 3,322
MODEL 3,0
PRIUS PRIME,25
MODEL Y,0
EQS-CLASS SUV,0
IONIQ 5,0
VOLT,38
LEAF,215
MODEL 3,0
MODEL 3,0
PACIFICA,32
LEAF,150
FUSION,19
MODEL Y,0
LEAF,75
MODEL 3,0
IONIQ 5,0
MODEL Y,0
MODEL Y,0
R1S,0
BOLT EUV,0
ID.4,0
MODEL Y,0
MODEL 3,0
MODEL 3,0
EQS-CLASS SEDAN,0
KONA ELECTRIC,0
XC60,35
MODEL 3,215
MODEL X,0
BOLT EV,238
VOLT,38
MODEL Y,0
PRIUS PLUG-IN,6
MODEL S,210
MODEL X,289
MODEL S,208
C-MAX,19
BOLT EUV,0
R1T,0
ID.4,0
RAV4 PRIME,42
LEAF,150
MODEL Y,0
MODEL 3,0
LEAF,84
MODEL 3,308
XC90,17
MODEL Y,0
WRANGLER,21
MODEL Y,0
MUSTANG MACH-E,0
SPARK,82
PACIFICA,32
MODEL 3,0
MODEL 3,215
MODEL 3,0
XC90,17
MODEL Y,0
MODEL Y,0
XC60,35
IONIQ 5,0
BOLT EV,238
PRIUS PRIME,25
MODEL Y,0
MODEL Y,0
MODEL Y,0
BOLT EUV,0
MODEL Y,291
MODEL Y,0
SOLTERRA,0
MODEL Y,0
MODEL 3,322
MODEL X,0
WRANGLER,21
VOLT,53
RAV4 PRIME,42
LEAF,75
MODEL 3,215
PACIFICA,32
BOLT EV,238
SORENTO,32
MODEL 3,266
MODEL 3,266
PACIFICA,32
MODEL X,0
MODEL 3,220
MODEL 3,0
MODEL 3,220
PACIFICA,32
MODEL Y,0
MODEL 3,266
MODEL Y,0
MODEL 3,0
MODEL S,249
A3,16
MODEL S,210
PACIFICA,32
500,84
MODEL 3,0
R1S,0
MODEL 3,0
XC90,35
MODEL S,249
ID.4,0
E-TRON,222
MODEL 3,0
MODEL 3,0
MODEL Y,0
CLARITY,47
MODEL 3,0
MODEL Y,0
IONIQ 5,0
MODEL 3,0
MODEL 3,266
MODEL Y,0
MODEL 3,0
MODEL Y,291
MODEL Y,0
MODEL 3,0
E-GOLF,125
PRIUS PRIME,25
MODEL 3,0
LEAF,0
ID.4,0
PACIFICA,32
E-GOLF,125
MODEL Y,291
ELR,40
MODEL Y,0
MODEL S,210
LEAF,73
WRANGLER,21
MODEL Y,0
BOLT EV,259
LEAF,151
WRANGLER,21
MODEL Y,0
TAYCAN,0
MODEL 3,266
MODEL Y,0
MODEL S,210
PRIUS PLUG-IN,6
500,84
ID.4,0
F-150,0
BOLT EV,238
ID.4,0
MUSTANG MACH-E,0
MODEL Y,0
EV6,0
I3,126
PACIFICA,32
MODEL Y,0
MODEL Y,0
C-MAX,19
PRIUS PRIME,25
MODEL Y,0
MODEL 3,215
BOLT EV,0
BOLT EV,0
RANGE ROVER SPORT,19
NIRO,0
LEAF,107
TUCSON,33
MODEL 3,0
MODEL S,208
MODEL 3,220
PRIUS PRIME,25
I4,0
MODEL X,200
MODEL Y,0
LEAF,151
SOLTERRA,0
I3,72
MODEL 3,0
MODEL S,208
MODEL Y,0
X5,30
TAYCAN,0
MODEL Y,0
MODEL Y,0
MODEL 3,0
MODEL 3,0
SOLTERRA,0
MODEL Y,0
500,87
MODEL Y,0
PRIUS PLUG-IN,6
VOLT,38
MODEL 3,322
WRANGLER,21
MUSTANG MACH-E,0
I3,126
MODEL Y,0
I3,72
R1S,0
IONIQ 5,0
MODEL Y,0
MODEL X,0
MODEL S,208
MODEL Y,0
I3,126
LEAF,107
MODEL 3,0
MODEL X,0
BOLT EV,0
MODEL 3,215
MODEL 3,215
MODEL X,200
ID.4,0
MODEL 3,215
LEAF,151
MODEL X,0
E-GOLF,125
MODEL 3,0
MODEL Y,0
KONA ELECTRIC,0
XC90,19
E-GOLF,125
R1S,0
SOLTERRA,0
MODEL X,238
E-TRON SPORTBACK,0
NIRO,26
MODEL 3,266
MODEL 3,0
BOLT EUV,0
ESCAPE,38
MODEL Y,0
LEAF,75
MODEL 3,215
MODEL 3,0
FUSION,19
MODEL 3,266
E-GOLF,83
MODEL 3,215
LEAF,73
SOUL,93
MODEL 3,0
R1S,0
NIRO,26
MODEL Y,0
CX-90,26
I3,72
MODEL Y,0
SOLTERRA,0
NIRO,0
LEAF,150
MODEL 3,0
PRIUS PLUG-IN,6
LEAF,0
IONIQ 5,0
MODEL X,200
CORSAIR,28
MODEL 3,215
MODEL Y,0
XC90,35
R1S,0
MODEL Y,0
BOLT EUV,0
MODEL Y,0
MODEL S,210
R1S,0
MODEL 3,0
MODEL 3,215
MODEL 3,215
MODEL Y,0
MODEL X,0
MODEL Y,0
MODEL 3,215
PACIFICA,33
MODEL 3,0
LEAF,0
MODEL 3,0
BOLT EV,0
ID.4,0
FUSION,19
VOLT,53
R1T,0
LEAF,0
MODEL Y,0
E-GOLF,83
MODEL S,208
S60,41
EQE-CLASS SEDAN,0
MODEL 3,0
LEAF,150
MODEL Y,0
MODEL 3,322
KONA ELECTRIC,0
EV6,0
BOLT EV,0
MODEL Y,291
MODEL X,238
ARIYA,0
BOLT EV,259
MODEL Y,0
MODEL 3,0
MODEL 3,220
MODEL Y,0
KONA ELECTRIC,0
FUSION,19
PACIFICA,32
ID.4,0
MODEL 3,220
MODEL 3,220
BOLT EV,259
EV6,0
MODEL 3,0
ID.4,0
PACIFICA,32
R1T,0
PRIUS PLUG-IN,6
PRIUS PRIME,25
XC40,0
LEAF,0
LEAF,0
BOLT EV,0
MODEL S,249
MODEL Y,0
Q5 E,20
X5,13
MODEL Y,0
LEAF,107
MODEL Y,0
BOLT EV,238
MODEL Y,0
MODEL Y,0
BOLT EUV,0
SANTA FE,30
MODEL 3,0
MODEL Y,0
MODEL 3,0
MODEL Y,0
MUSTANG MACH-E,0
MODEL Y,0
PRIUS PRIME,25
MODEL Y,0
530E,18
KONA ELECTRIC,0
MODEL Y,0
WRANGLER,21
I4,0
PACIFICA,32
MODEL 3,215
MODEL Y,0
MODEL S,208
GRAND CHEROKEE,25
R1S,0
MODEL 3,215
MODEL X,289
VOLT,53
PRIUS PLUG-IN,6
WRANGLER,21
LEAF,75
EV6,0
ID.4,0
MODEL Y,0
XC40,0
IONIQ 5,0
MODEL 3,220
MODEL 3,215
MODEL Y,0
MODEL 3,215
MODEL Y,0
PACIFICA,32
MODEL X,0
MODEL Y,0
MODEL 3,215
IONIQ 5,0
MODEL S,208
MODEL 3,220
MUSTANG MACH-E,0
IONIQ 5,0
MODEL Y,0
MODEL 3,0
MODEL 3,220
LEAF,84
MODEL 3,220
MODEL S,0
PACIFICA,32
KONA ELECTRIC,0
MODEL Y,0
IONIQ 5,0
MODEL Y,0
LEAF,0
MODEL Y,291
C-MAX,20
SORENTO,32
MODEL Y,0
WRANGLER,21
MODEL Y,0
MODEL S,210
MODEL Y,0
I4,0
MODEL Y,0
XC40,0
MUSTANG MACH-E,0
MODEL S,208
CX-90,26
MODEL 3,308
IONIQ 5,0
MODEL 3,215
IX,0
MODEL Y,0
ID.4,0
MODEL 3,0
X5,30
FUSION,26
LEAF,84
500,87
BOLT EV,238
MODEL 3,0
MODEL X,200
TAYCAN,0
FUSION,19
XC40,0
R1T,0
MODEL 3,0
MODEL 3,0
LEAF,0
LEAF,215
MODEL Y,0
MODEL 3,0
XC60,18
MODEL 3,0
MODEL S,249
BOLT EV,0
XC90,19
PACIFICA,32
MODEL Y,0
MODEL 3,220
WRANGLER,21
MODEL S,208
SOLTERRA,0
PRIUS PRIME,25
EQB-CLASS,0
WRANGLER,21
MODEL S,0
MODEL X,289
X3,17
MODEL Y,0
SOLTERRA,0
LEAF,151
MODEL 3,0
MODEL 3,215
SOUL,93
MODEL Y,0
MODEL Y,0
BOLT EV,238
MODEL 3,266
MODEL X,200
MODEL 3,0
MODEL 3,215
MODEL Y,0
MODEL Y,0
LEAF,0
TRANSIT,0
MODEL Y,0
SOUL,93
PACIFICA,33
MODEL S,210
PS2,0
BOLT EUV,0
E-TRON,204
KONA ELECTRIC,0
WRANGLER,21
MODEL S,210
BOLT EV,238
MODEL 3,266
MODEL Y,0
MODEL S,249
MODEL 3,0
VOLT,53
MODEL Y,0
MODEL X,238
MODEL Y,0
SOLTERRA,0
E-TRON,222
MODEL S,210
ARIYA,0
BOLT EUV,0
MODEL S,210
LEAF,75
WRANGLER,21
WRANGLER,25
MODEL 3,220
GRAND CHEROKEE,25
MODEL Y,0
LEAF,73
MODEL 3,0
PRIUS PRIME,25
MODEL 3,0
RAV4 PRIME,42
WRANGLER,21
KONA ELECTRIC,0
